program,n_rotations,delta,tvd,detected
cdkm_ripple_carry_adder_8,42,0.0,0.0,0
cdkm_ripple_carry_adder_8,42,0.01,0.00238,1
cdkm_ripple_carry_adder_8,42,0.02,0.009766,1
cdkm_ripple_carry_adder_8,42,0.03,0.021423,1
cdkm_ripple_carry_adder_8,42,0.05,0.058472,1
cdkm_ripple_carry_adder_8,42,0.07,0.111206,1
cdkm_ripple_carry_adder_8,42,0.1,0.217377,1
cdkm_ripple_carry_adder_8,42,0.15,0.42276,1
cdkm_ripple_carry_adder_8,42,0.2,0.627563,1
cdkm_ripple_carry_adder_8,42,0.3,0.902161,1
cdkm_ripple_carry_adder_8,42,0.5,0.99939,1
draper_qft_adder_10,15,0.0,0.0,0
draper_qft_adder_10,15,0.01,0.0,0
draper_qft_adder_10,15,0.02,0.0,0
draper_qft_adder_10,15,0.03,0.0,0
draper_qft_adder_10,15,0.05,0.0,0
draper_qft_adder_10,15,0.07,0.0,0
draper_qft_adder_10,15,0.1,0.0,0
draper_qft_adder_10,15,0.15,0.0,0
draper_qft_adder_10,15,0.2,0.0,0
draper_qft_adder_10,15,0.3,0.0,0
draper_qft_adder_10,15,0.5,0.0,0
draper_qft_adder_12,21,0.0,0.0,0
draper_qft_adder_12,21,0.01,0.0,0
draper_qft_adder_12,21,0.02,0.0,0
draper_qft_adder_12,21,0.03,0.0,0
draper_qft_adder_12,21,0.05,0.0,0
draper_qft_adder_12,21,0.07,0.0,0
draper_qft_adder_12,21,0.1,0.0,0
draper_qft_adder_12,21,0.15,0.0,0
draper_qft_adder_12,21,0.2,0.0,0
draper_qft_adder_12,21,0.3,0.0,0
draper_qft_adder_12,21,0.5,0.0,0
draper_qft_adder_2,1,0.0,0.0,0
draper_qft_adder_2,1,0.01,0.0,0
draper_qft_adder_2,1,0.02,0.0,0
draper_qft_adder_2,1,0.03,0.0,0
draper_qft_adder_2,1,0.05,0.0,0
draper_qft_adder_2,1,0.07,0.0,0
draper_qft_adder_2,1,0.1,0.0,0
draper_qft_adder_2,1,0.15,0.0,0
draper_qft_adder_2,1,0.2,0.0,0
draper_qft_adder_2,1,0.3,0.0,0
draper_qft_adder_2,1,0.5,0.0,0
draper_qft_adder_4,3,0.0,0.0,0
draper_qft_adder_4,3,0.01,0.0,0
draper_qft_adder_4,3,0.02,0.0,0
draper_qft_adder_4,3,0.03,0.0,0
draper_qft_adder_4,3,0.05,0.0,0
draper_qft_adder_4,3,0.07,0.0,0
draper_qft_adder_4,3,0.1,0.0,0
draper_qft_adder_4,3,0.15,0.0,0
draper_qft_adder_4,3,0.2,0.0,0
draper_qft_adder_4,3,0.3,0.0,0
draper_qft_adder_4,3,0.5,0.0,0
draper_qft_adder_6,6,0.0,0.0,0
draper_qft_adder_6,6,0.01,0.0,0
draper_qft_adder_6,6,0.02,0.0,0
draper_qft_adder_6,6,0.03,0.0,0
draper_qft_adder_6,6,0.05,0.0,0
draper_qft_adder_6,6,0.07,0.0,0
draper_qft_adder_6,6,0.1,0.0,0
draper_qft_adder_6,6,0.15,0.0,0
draper_qft_adder_6,6,0.2,0.0,0
draper_qft_adder_6,6,0.3,0.0,0
draper_qft_adder_6,6,0.5,0.0,0
draper_qft_adder_8,10,0.0,0.0,0
draper_qft_adder_8,10,0.01,0.0,0
draper_qft_adder_8,10,0.02,0.0,0
draper_qft_adder_8,10,0.03,0.0,0
draper_qft_adder_8,10,0.05,0.0,0
draper_qft_adder_8,10,0.07,0.0,0
draper_qft_adder_8,10,0.1,0.0,0
draper_qft_adder_8,10,0.15,0.0,0
draper_qft_adder_8,10,0.2,0.0,0
draper_qft_adder_8,10,0.3,0.0,0
draper_qft_adder_8,10,0.5,0.0,0
full_adder_10,56,0.0,0.0,0
full_adder_10,56,0.01,0.003174,1
full_adder_10,56,0.02,0.012787,1
full_adder_10,56,0.03,0.028809,1
full_adder_10,56,0.05,0.077393,1
full_adder_10,56,0.07,0.146149,1
full_adder_10,56,0.1,0.276337,1
full_adder_10,56,0.15,0.519928,1
full_adder_10,56,0.2,0.733093,1
full_adder_10,56,0.3,0.954865,1
full_adder_10,56,0.5,0.999939,1
full_adder_12,70,0.0,0.0,0
full_adder_12,70,0.01,0.003967,1
full_adder_12,70,0.02,0.016388,1
full_adder_12,70,0.03,0.035126,1
full_adder_12,70,0.05,0.095123,1
full_adder_12,70,0.07,0.180542,1
full_adder_12,70,0.1,0.331665,1
full_adder_12,70,0.15,0.599915,1
full_adder_12,70,0.2,0.809204,1
full_adder_12,70,0.3,0.979004,1
full_adder_12,70,0.5,1.0,1
full_adder_4,14,0.0,0.0,0
full_adder_4,14,0.01,0.000946,0
full_adder_4,14,0.02,0.003174,1
full_adder_4,14,0.03,0.006866,1
full_adder_4,14,0.05,0.020294,1
full_adder_4,14,0.07,0.038666,1
full_adder_4,14,0.1,0.077789,1
full_adder_4,14,0.15,0.169067,1
full_adder_4,14,0.2,0.281586,1
full_adder_4,14,0.3,0.537598,1
full_adder_4,14,0.5,0.916718,1
full_adder_6,28,0.0,0.0,0
full_adder_6,28,0.01,0.00174,1
full_adder_6,28,0.02,0.006104,1
full_adder_6,28,0.03,0.014587,1
full_adder_6,28,0.05,0.039551,1
full_adder_6,28,0.07,0.075867,1
full_adder_6,28,0.1,0.149658,1
full_adder_6,28,0.15,0.306824,1
full_adder_6,28,0.2,0.483124,1
full_adder_6,28,0.3,0.786224,1
full_adder_6,28,0.5,0.993591,1
full_adder_8,42,0.0,0.0,0
full_adder_8,42,0.01,0.00238,1
full_adder_8,42,0.02,0.009766,1
full_adder_8,42,0.03,0.021423,1
full_adder_8,42,0.05,0.058472,1
full_adder_8,42,0.07,0.111206,1
full_adder_8,42,0.1,0.217377,1
full_adder_8,42,0.15,0.42276,1
full_adder_8,42,0.2,0.627563,1
full_adder_8,42,0.3,0.902161,1
full_adder_8,42,0.5,0.99939,1
grover_10,2618,0.0,0.0,0
grover_10,2618,0.01,0.15567,1
grover_10,2618,0.02,0.529938,1
grover_10,2618,0.03,0.882996,1
grover_10,2618,0.05,0.961945,1
grover_10,2618,0.07,0.968231,1
grover_10,2618,0.1,0.99707,1
grover_10,2618,0.15,0.998718,1
grover_10,2618,0.2,0.977814,1
grover_10,2618,0.3,0.9953,1
grover_10,2618,0.5,0.997803,1
grover_12,5670,0.0,0.0,0
grover_12,5670,0.01,0.509521,1
grover_12,5670,0.02,0.996094,1
grover_12,5670,0.03,0.903381,1
grover_12,5670,0.05,0.994751,1
grover_12,5670,0.07,0.995453,1
grover_12,5670,0.1,0.998413,1
grover_12,5670,0.15,0.99826,1
grover_12,5670,0.2,0.996429,1
grover_12,5670,0.3,0.999786,1
grover_12,5670,0.5,0.996826,1
grover_2,2,0.0,0.0,0
grover_2,2,0.01,3.1e-05,0
grover_2,2,0.02,6.1e-05,0
grover_2,2,0.03,0.000397,0
grover_2,2,0.05,0.001038,0
grover_2,2,0.07,0.002014,0
grover_2,2,0.1,0.004639,0
grover_2,2,0.15,0.010925,0
grover_2,2,0.2,0.019562,0
grover_2,2,0.3,0.043488,1
grover_2,2,0.5,0.113739,1
grover_3,6,0.0,0.0,0
grover_3,6,0.01,6.1e-05,0
grover_3,6,0.02,0.000275,0
grover_3,6,0.03,0.00058,0
grover_3,6,0.05,0.001343,1
grover_3,6,0.07,0.002411,1
grover_3,6,0.1,0.005402,1
grover_3,6,0.15,0.013153,1
grover_3,6,0.2,0.024078,1
grover_3,6,0.3,0.053894,1
grover_3,6,0.5,0.145782,1
grover_4,20,0.0,0.0,0
grover_4,20,0.01,3.1e-05,0
grover_4,20,0.02,9.2e-05,0
grover_4,20,0.03,0.000122,0
grover_4,20,0.05,0.000702,0
grover_4,20,0.07,0.001495,0
grover_4,20,0.1,0.002441,0
grover_4,20,0.15,0.006042,0
grover_4,20,0.2,0.009613,0
grover_4,20,0.3,0.019928,1
grover_4,20,0.5,0.047272,1
grover_5,87,0.0,0.0,0
grover_5,87,0.01,0.000763,0
grover_5,87,0.02,0.001801,0
grover_5,87,0.03,0.002991,0
grover_5,87,0.05,0.00705,0
grover_5,87,0.07,0.010345,0
grover_5,87,0.1,0.016602,0
grover_5,87,0.15,0.035278,1
grover_5,87,0.2,0.116791,1
grover_5,87,0.3,0.560211,1
grover_5,87,0.5,0.423615,1
grover_6,228,0.0,0.0,0
grover_6,228,0.01,0.001648,0
grover_6,228,0.02,0.007965,1
grover_6,228,0.03,0.019562,1
grover_6,228,0.05,0.055817,1
grover_6,228,0.07,0.108276,1
grover_6,228,0.1,0.244934,1
grover_6,228,0.15,0.579742,1
grover_6,228,0.2,0.80661,1
grover_6,228,0.3,0.893799,1
grover_6,228,0.5,0.967285,1
grover_8,1168,0.0,0.0,0
grover_8,1168,0.01,0.037231,1
grover_8,1168,0.02,0.147339,1
grover_8,1168,0.03,0.320496,1
grover_8,1168,0.05,0.820557,1
grover_8,1168,0.07,0.913239,1
grover_8,1168,0.1,0.955963,1
grover_8,1168,0.15,0.993927,1
grover_8,1168,0.2,0.959869,1
grover_8,1168,0.3,0.907928,1
grover_8,1168,0.5,0.989868,1
half_adder_3,7,0.0,0.0,0
half_adder_3,7,0.01,0.000549,0
half_adder_3,7,0.02,0.00174,1
half_adder_3,7,0.03,0.003723,1
half_adder_3,7,0.05,0.010071,1
half_adder_3,7,0.07,0.019775,1
half_adder_3,7,0.1,0.039703,1
half_adder_3,7,0.15,0.087921,1
half_adder_3,7,0.2,0.153107,1
half_adder_3,7,0.3,0.319336,1
half_adder_3,7,0.5,0.709686,1
half_adder_5,21,0.0,0.0,0
half_adder_5,21,0.01,0.001282,0
half_adder_5,21,0.02,0.004639,1
half_adder_5,21,0.03,0.010803,1
half_adder_5,21,0.05,0.029877,1
half_adder_5,21,0.07,0.057343,1
half_adder_5,21,0.1,0.113708,1
half_adder_5,21,0.15,0.242157,1
half_adder_5,21,0.2,0.388367,1
half_adder_5,21,0.3,0.68512,1
half_adder_5,21,0.5,0.9758,1
hhl_10,24,0.0,0.0,0
hhl_10,24,0.01,0.0,0
